StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,ic,att_1,att_2,Present_Auto_10,Present_HandsOff_10,Present_Watch_10,Present_Nap_10,Faded_Auto_10,Faded_HandsOff_10,Faded_Watch_10,Faded_Nap_10,AI_Familiarity_1,Visual_Familiarity_1,license,gender,gender_4_TEXT,age,education,education_8_TEXT,income,workerID,hitID,assignmentId,Present_TimeVehicleStopped,Faded_TimeVehicleStopped
6/17/24 9:37,6/17/24 9:40,0,100,180,1,6/17/24 9:40,R_55tJR75nMaHhnx6,anonymous,EN,1,2,2,,,,,20,0,0,0,29,10,1,2,,22,4,,12,,,,9.17,
6/17/24 9:37,6/17/24 9:40,0,100,169,1,6/17/24 9:40,R_63C5Smlu59cQzn7,anonymous,EN,1,2,2,,,,,62,19,8,0,87,81,1,2,,47,3,,12,,,,19.32,
6/17/24 9:35,6/17/24 9:40,0,100,272,1,6/17/24 9:40,R_1ES99BRwpdKAUOW,anonymous,EN,1,2,2,63,64,61,28,,,,,79,62,1,1,,43,2,,13,,,,19.3,
6/17/24 9:36,6/17/24 9:40,0,100,221,1,6/17/24 9:40,R_6QljzMS0nc8rd8n,anonymous,EN,1,2,2,50,50,0,0,,,,,67,0,1,2,,58,3,,14,,,,17.42,
6/17/24 9:37,6/17/24 9:40,0,100,207,1,6/17/24 9:40,R_7KvFDWgvQ1coAkh,anonymous,EN,1,2,2,72,57,20,0,,,,,41,16,1,2,,42,3,,12,,,,19.22,
6/17/24 9:38,6/17/24 9:40,0,100,137,1,6/17/24 9:40,R_5QbIiSMHJt3eaqZ,anonymous,EN,1,2,2,,,,,50,26,46,5,56,12,1,1,,46,3,,15,,,,18.06,
6/17/24 9:35,6/17/24 9:40,0,100,288,1,6/17/24 9:40,R_6kH4WPA7AdB43iT,anonymous,EN,1,2,2,71,13,50,15,,,,,67,6,1,2,,59,4,,12,,,,9.7,
6/17/24 9:37,6/17/24 9:40,0,100,217,1,6/17/24 9:40,R_6hKlSu7nHLPlKgh,anonymous,EN,1,2,2,58,73,62,72,,,,,77,67,1,1,,66,4,,12,,,,,
6/17/24 9:26,6/17/24 9:40,0,100,850,1,6/17/24 9:40,R_6plubCnJkl9J3ZM,anonymous,EN,1,2,2,,,,,30,30,20,10,65,30,1,2,,28,5,,11,,,,17.51,
6/17/24 9:33,6/17/24 9:41,0,100,446,1,6/17/24 9:41,R_66ypjHNlr3TVBD3,anonymous,EN,1,2,2,50,50,29,9,,,,,63,50,1,1,,33,7,,11,,,,19.32,
6/17/24 9:38,6/17/24 9:41,0,100,145,1,6/17/24 9:41,R_3kS3Q2wtAEHI27K,anonymous,EN,1,2,2,80,70,25,0,,,,,100,80,1,2,,21,3,,9,,,,18.67,
6/17/24 9:38,6/17/24 9:41,0,100,141,1,6/17/24 9:41,R_3S05CER53GBFLY8,anonymous,EN,1,2,2,70,70,10,0,,,,,75,75,1,1,,35,4,,14,,,,18.45,
6/17/24 9:37,6/17/24 9:41,0,100,242,1,6/17/24 9:41,R_5GRi3DgBJxNhl4t,anonymous,EN,1,2,2,63,81,72,10,,,,,31,0,1,2,,50,2,,14,,,,19.32,
6/17/24 9:38,6/17/24 9:41,0,100,156,1,6/17/24 9:41,R_1Gf7NENpyNkq49h,anonymous,EN,1,2,2,,,,,85,90,10,0,85,85,1,2,,40,4,,11,,,,17.79,
6/17/24 9:34,6/17/24 9:41,0,100,395,1,6/17/24 9:41,R_3JRudDNOfeNW8Mr,anonymous,EN,1,2,2,74,29,26,30,,,,,71,62,1,2,,37,4,,10,,,,18.2,
6/17/24 9:37,6/17/24 9:41,0,100,259,1,6/17/24 9:41,R_6gmuriq4Kzs1shH,anonymous,EN,1,2,2,60,50,10,5,,,,,70,0,1,2,,40,5,,12,,,,18.35,
6/17/24 9:38,6/17/24 9:41,0,100,163,1,6/17/24 9:41,R_1OmDL2hrjFiNAGt,anonymous,EN,1,2,2,,,,,0,0,0,0,70,0,1,1,,41,4,,13,,,,7.23,
6/17/24 9:39,6/17/24 9:41,0,100,134,1,6/17/24 9:41,R_7WV8p4Tsvv4FmCO,anonymous,EN,1,2,2,0,0,0,0,,,,,51,47,1,1,,68,3,,12,,,,1.44,
6/17/24 9:30,6/17/24 9:41,0,100,680,1,6/17/24 9:41,R_247pyh4Rmfs5RPs,anonymous,EN,1,2,2,77,65,76,26,,,,,35,29,2,1,,28,1,,14,,,,19.32,
6/17/24 9:39,6/17/24 9:41,0,100,156,1,6/17/24 9:41,R_72fvvpU9EmmGWsh,anonymous,EN,1,2,2,,,,,78,100,33,0,85,64,1,1,,50,4,,13,,,,18.03,
6/17/24 9:38,6/17/24 9:41,0,100,215,1,6/17/24 9:41,R_5RWq43FNXFvIJxL,anonymous,EN,1,2,2,,,,,25,25,30,17,90,71,1,2,,39,3,,14,,,,,
6/17/24 9:38,6/17/24 9:42,0,100,194,1,6/17/24 9:42,R_3dAhFgVfVwQG5SG,anonymous,EN,1,1,2,42,41,21,0,,,,,55,20,1,1,,40,5,,9,,,,16.51,
6/17/24 9:38,6/17/24 9:42,0,100,230,1,6/17/24 9:42,R_1YsoFmgiiK43auh,anonymous,EN,1,2,2,,,,,81,71,0,0,86,51,1,2,,62,5,,10,,,,17.68,
6/17/24 9:38,6/17/24 9:42,0,100,194,1,6/17/24 9:42,R_3DShGCJOHNOwpuC,anonymous,EN,1,2,2,,,,,15,5,19,0,64,23,1,1,,40,4,,12,,,,18.56,
6/17/24 9:38,6/17/24 9:42,0,100,215,1,6/17/24 9:42,R_5J1NMuZL8mXvs3d,anonymous,EN,1,2,2,95,92,62,30,,,,,84,7,1,2,,24,4,,10,,,,18.37,
6/17/24 9:38,6/17/24 9:42,0,100,212,1,6/17/24 9:42,R_3l3sQD8Aq5pUeFr,anonymous,EN,1,2,2,,,,,0,0,0,0,85,60,1,2,,43,5,,13,,,,8.68,
6/17/24 9:39,6/17/24 9:42,0,100,150,1,6/17/24 9:42,R_35R2t3gdExrQkZb,anonymous,EN,1,2,2,,,,,65,41,25,25,100,81,1,1,,50,4,,1,,,,17.76,
6/17/24 9:37,6/17/24 9:42,0,100,302,1,6/17/24 9:42,R_6Ddp4FD2YhMuyYP,anonymous,EN,1,2,1,21,0,3,0,,,,,83,61,1,2,,46,3,,10,,,,18.26,
6/17/24 9:39,6/17/24 9:42,0,100,176,1,6/17/24 9:42,R_3tnSfTe5YBUwnmY,anonymous,EN,1,2,2,,,,,10,14,3,3,75,54,1,2,,55,3,,12,,,,19.32,
6/17/24 9:39,6/17/24 9:42,0,100,166,1,6/17/24 9:42,R_3TUiGW8jbpWobGV,anonymous,EN,1,2,2,0,0,0,0,,,,,62,61,1,1,,49,1,,12,,,,8.78,
6/17/24 9:39,6/17/24 9:42,0,100,163,1,6/17/24 9:42,R_3nO9iNDGEBe5MCf,anonymous,EN,1,2,2,50,0,0,0,,,,,81,50,1,1,,33,5,,12,,,,17.73,
6/17/24 9:38,6/17/24 9:42,0,100,260,1,6/17/24 9:42,R_7R7ZRgsQJcoKVCP,anonymous,EN,1,2,2,,,,,50,30,40,0,75,10,1,2,,63,3,,13,,,,,
6/17/24 9:39,6/17/24 9:42,0,100,178,1,6/17/24 9:42,R_3uIp7UT1BnTJWFY,anonymous,EN,1,2,2,,,,,40,28,19,12,68,54,2,2,,39,4,,12,,,,17.88,
6/17/24 9:40,6/17/24 9:42,0,100,168,1,6/17/24 9:42,R_6HL9Q3uAGPqxv5Z,anonymous,EN,1,2,2,,,,,100,100,70,30,70,0,1,1,,44,3,,14,,,,17.71,
6/17/24 9:40,6/17/24 9:43,0,100,157,1,6/17/24 9:43,R_6QsDhWDyvIVxKlp,anonymous,EN,1,2,2,20,50,50,0,,,,,100,80,1,1,,39,4,,10,,,,17.48,
6/17/24 9:05,6/17/24 9:43,0,100,2248,1,6/17/24 9:43,R_3ARsXdxf1X5txRX,anonymous,EN,1,2,2,,,,,45,30,30,10,70,60,2,2,,25,1,,13,,,,19.32,
6/17/24 9:40,6/17/24 9:43,0,100,170,1,6/17/24 9:43,R_3WLcm2RkdkT6ilP,anonymous,EN,1,2,2,40,30,61,0,,,,,61,60,1,2,,20,1,,10,,,,17.21,
6/17/24 9:33,6/17/24 9:43,0,100,583,1,6/17/24 9:43,R_5y8RBjvRpX4ykE1,anonymous,EN,1,2,2,50,29,25,0,,,,,79,68,1,2,,39,4,,12,,,,17.46,
6/17/24 9:31,6/17/24 9:43,0,100,723,1,6/17/24 9:43,R_6ocLEo7DgQgWjS1,anonymous,EN,1,2,2,50,0,0,0,,,,,71,48,2,1,,35,1,,11,,,,14.37,
6/17/24 9:36,6/17/24 9:43,0,100,385,1,6/17/24 9:43,R_3SvmME1FLWVNeZS,anonymous,EN,1,2,2,100,100,25,0,,,,,75,25,1,1,,55,3,,13,,,,18.55,
6/17/24 9:41,6/17/24 9:43,0,100,133,1,6/17/24 9:43,R_3fDvw3qdDmqioQ9,anonymous,EN,1,2,2,,,,,100,100,100,100,82,9,1,1,,49,4,,10,,,,17.72,
6/17/24 9:39,6/17/24 9:43,0,100,229,1,6/17/24 9:43,R_6QuUm6FcRG66qo5,anonymous,EN,1,2,2,30,20,20,0,,,,,76,76,1,1,,54,4,,14,,,,17.93,
6/17/24 9:38,6/17/24 9:43,0,100,273,1,6/17/24 9:43,R_37QLhsCKtVYucTZ,anonymous,EN,1,2,2,,,,,40,50,40,0,70,30,1,1,,53,4,,14,,,,17.35,
6/17/24 9:40,6/17/24 9:43,0,100,164,1,6/17/24 9:43,R_7ILzSahJaSJyHFS,anonymous,EN,1,2,2,,,,,9,0,0,0,60,5,1,2,,23,4,,12,,,,10.83,
6/17/24 9:37,6/17/24 9:43,0,100,364,1,6/17/24 9:43,R_3rPD9vO1T2bVo5j,anonymous,EN,1,2,2,35,15,0,0,,,,,100,100,2,1,,43,1,,14,,,,19.32,
6/17/24 9:40,6/17/24 9:43,0,100,214,1,6/17/24 9:43,R_3M2Nvko0s2T3kSl,anonymous,EN,1,2,2,,,,,60,60,9,0,40,2,1,2,,66,3,,11,,,,16.89,
6/17/24 9:41,6/17/24 9:43,0,100,162,1,6/17/24 9:43,R_6r2qgianWqo23QC,anonymous,EN,1,2,2,,,,,81,70,100,0,16,6,1,1,,38,3,,14,,,,16.9,
6/17/24 9:42,6/17/24 9:43,0,100,94,1,6/17/24 9:43,R_5PVBE7WJgHULwAN,anonymous,EN,1,2,2,,,,,70,33,30,0,75,26,1,1,,37,5,,11,,,,7.91,
6/17/24 9:42,6/17/24 9:43,0,100,65,1,6/17/24 9:43,R_5FxZya70rrxLcwX,anonymous,EN,1,2,2,46,40,56,14,,,,,84,83,1,1,,38,4,,10,,,,9.57,
6/17/24 9:36,6/17/24 9:43,0,100,432,1,6/17/24 9:43,R_28J1eq85Y8XlS5p,anonymous,EN,1,2,2,75,66,28,28,,,,,51,74,1,1,,51,5,,10,,,,19.23,
6/17/24 9:40,6/17/24 9:44,0,100,190,1,6/17/24 9:44,R_3LUWYh0d1FECacr,anonymous,EN,1,2,2,50,0,0,0,,,,,90,85,1,2,,63,3,,10,,,,17.82,
6/17/24 9:40,6/17/24 9:44,0,100,226,1,6/17/24 9:44,R_32roZaeU9jNnFMl,anonymous,EN,1,2,2,,,,,20,20,20,0,75,0,1,1,,46,5,,10,,,,17.48,
6/17/24 9:36,6/17/24 9:44,0,100,429,1,6/17/24 9:44,R_1USCtJO3DeZiFSp,anonymous,EN,1,2,2,,,,,0,0,0,0,70,20,1,2,,44,4,,12,,,,8.66,
6/17/24 9:41,6/17/24 9:44,0,100,183,1,6/17/24 9:44,R_5LaUOLZOVcLz13n,anonymous,EN,1,2,2,25,81,15,1,,,,,74,77,1,2,,57,2,,12,,,,9.32,
6/17/24 9:40,6/17/24 9:44,0,100,207,1,6/17/24 9:44,R_1PniYgFFrxhxXbY,anonymous,EN,1,2,2,4,0,0,0,,,,,32,32,1,2,,43,5,,13,,,,11.49,
6/17/24 9:40,6/17/24 9:44,0,100,211,1,6/17/24 9:44,R_5EJSu13pnXIMQfS,anonymous,EN,1,2,2,78,30,0,0,,,,,70,0,1,2,,53,4,,10,,,,17.7,
6/17/24 9:42,6/17/24 9:44,0,100,138,1,6/17/24 9:44,R_35T2NRPymXra86E,anonymous,EN,1,2,2,,,,,39,21,8,0,58,29,1,2,,62,3,,12,,,,3.37,
6/17/24 9:41,6/17/24 9:44,0,100,192,1,6/17/24 9:44,R_3S7zBRv7l40ywAF,anonymous,EN,1,2,2,39,30,29,0,,,,,31,2,1,2,,37,3,,10,,,,18.77,
6/17/24 9:39,6/17/24 9:44,0,100,285,1,6/17/24 9:44,R_3Qs9fUPGk0cJwPy,anonymous,EN,1,2,2,,,,,81,91,77,19,66,56,1,2,,61,4,,12,,,,17.82,
6/17/24 9:41,6/17/24 9:44,0,100,158,1,6/17/24 9:44,R_78LllfRvrUnq4HT,anonymous,EN,1,2,2,,,,,29,14,10,0,58,16,1,1,,51,3,,14,,,,2.55,
6/17/24 9:41,6/17/24 9:44,0,100,190,1,6/17/24 9:44,R_3OCgovIYjMYNDG0,anonymous,EN,1,2,1,60,70,0,0,,,,,40,10,1,1,,64,4,,14,,,,18.16,
6/17/24 9:41,6/17/24 9:44,0,100,194,1,6/17/24 9:44,R_13Bh5Qt0OMvsI6B,anonymous,EN,1,2,1,,,,,30,25,10,0,70,30,1,1,,39,2,,12,,,,18.57,
6/17/24 9:41,6/17/24 9:44,0,100,161,1,6/17/24 9:44,R_6EhS7EKwbytNref,anonymous,EN,1,2,2,40,40,0,0,,,,,70,60,1,1,,41,1,,12,,,,7.44,
6/17/24 9:39,6/17/24 9:44,0,100,328,1,6/17/24 9:44,R_7hMFwFwe01mj5cR,anonymous,EN,1,2,2,,,,,55,10,0,0,80,62,1,2,,62,3,,10,,,,9.24,
6/17/24 9:42,6/17/24 9:44,0,100,142,1,6/17/24 9:44,R_38JLSz2pVlIF9V7,anonymous,EN,1,2,2,25,70,15,0,,,,,15,80,1,1,,24,2,,13,,,,18.23,
6/17/24 9:42,6/17/24 9:44,0,100,117,1,6/17/24 9:44,R_7GiXso73OjCXCFy,anonymous,EN,1,2,2,,,,,92,93,100,81,100,82,1,1,,43,5,,15,,,,19.32,
6/17/24 9:38,6/17/24 9:44,0,100,355,1,6/17/24 9:44,R_5pVUsUIEndm9elp,anonymous,EN,1,2,2,,,,,92,74,23,19,79,80,1,2,,48,4,,10,,,,19.32,
6/17/24 9:42,6/17/24 9:44,0,100,145,1,6/17/24 9:44,R_5zUuIJRCUa7xAKu,anonymous,EN,1,2,2,0,0,0,0,,,,,70,0,1,2,,55,4,,11,,,,2.5,
6/17/24 9:41,6/17/24 9:44,0,100,173,1,6/17/24 9:44,R_102yCitD1WqCvD3,anonymous,EN,1,2,2,71,82,29,82,,,,,69,59,1,1,,34,4,,10,,,,3.71,
6/17/24 9:43,6/17/24 9:44,0,100,99,1,6/17/24 9:44,R_1dhmhdIVSvp3H20,anonymous,EN,1,2,2,80,65,41,24,,,,,90,75,1,1,,38,6,,10,,,,18,
6/17/24 9:42,6/17/24 9:44,0,100,143,1,6/17/24 9:44,R_12LVxvvWaoAHBn8,anonymous,EN,1,2,2,,,,,0,0,0,0,70,22,1,1,,65,1,,14,,,,3.22,
6/17/24 9:42,6/17/24 9:44,0,100,146,1,6/17/24 9:44,R_3hLueKkjcJZhSTz,anonymous,EN,1,2,2,,,,,55,61,11,1,65,54,1,1,,51,3,,13,,,,17.34,
6/17/24 9:20,6/17/24 9:44,0,100,1454,1,6/17/24 9:44,R_1oNlYHThHm1Ys5X,anonymous,EN,1,2,1,,,,,0,29,29,0,23,7,1,2,,38,5,,10,,,,9.44,
6/17/24 9:42,6/17/24 9:44,0,100,138,1,6/17/24 9:44,R_3NE4YBUk68vlOHV,anonymous,EN,1,2,2,70,70,20,0,,,,,66,20,1,2,,24,2,,13,,,,17.39,
6/17/24 9:43,6/17/24 9:44,0,100,90,1,6/17/24 9:44,R_37HXTvP36XPhWp6,anonymous,EN,1,2,2,,,,,0,40,0,0,100,76,1,1,,42,1,,13,,,,18.04,
6/17/24 9:38,6/17/24 9:45,0,100,407,1,6/17/24 9:45,R_6JWPXguoYfQFm1a,anonymous,EN,1,2,2,45,65,35,25,,,,,60,18,1,1,,52,4,,12,,,,19.32,
6/17/24 9:42,6/17/24 9:45,0,100,166,1,6/17/24 9:45,R_1EW3n96XJGOyB7r,anonymous,EN,1,2,2,56,72,52,38,,,,,91,90,1,1,,35,4,,9,,,,17.38,
6/17/24 9:42,6/17/24 9:45,0,100,168,1,6/17/24 9:45,R_1IM2HTfaMXqLPRD,anonymous,EN,1,2,2,,,,,85,85,20,0,70,61,1,1,,50,4,,11,,,,18.27,
6/17/24 9:36,6/17/24 9:45,0,100,510,1,6/17/24 9:45,R_3CtsfFfCmRk2Pbb,anonymous,EN,1,2,2,9,19,8,0,,,,,70,0,1,1,,46,3,,11,,,,18.09,
6/17/24 9:41,6/17/24 9:45,0,100,199,1,6/17/24 9:45,R_3N6pXX2NRd8bkNr,anonymous,EN,1,2,2,,,,,10,15,100,0,10,0,1,1,,63,1,,12,,,,19.32,
6/17/24 9:42,6/17/24 9:45,0,100,174,1,6/17/24 9:45,R_1q8S9QJi83yWunF,anonymous,EN,1,2,2,29,20,81,0,,,,,60,3,1,1,,49,5,,10,,,,17.07,
6/17/24 9:41,6/17/24 9:45,0,100,211,1,6/17/24 9:45,R_3CplEnvrHatpwpG,anonymous,EN,1,2,2,,,,,38,17,14,0,56,5,1,2,,55,4,,11,,,,9.66,
6/17/24 9:34,6/17/24 9:45,0,100,627,1,6/17/24 9:45,R_1nicumDkjy8Vxo5,anonymous,EN,1,2,1,,,,,0,0,0,0,80,20,1,1,,65,4,,9,,,,1.92,
6/17/24 9:41,6/17/24 9:45,0,100,248,1,6/17/24 9:45,R_1bNoSV2t4KMtXjE,anonymous,EN,1,2,2,,,,,9,10,4,0,8,0,1,1,,68,2,,14,,,,17.13,
6/17/24 9:42,6/17/24 9:45,0,100,191,1,6/17/24 9:45,R_1oF4Z0HohJpiWI3,anonymous,EN,1,2,2,,,,,92,90,81,40,81,30,1,2,,35,3,,14,,,,18.48,
6/17/24 9:43,6/17/24 9:45,0,100,162,1,6/17/24 9:45,R_18zK5jsyMgWESyi,anonymous,EN,1,2,2,,,,,42,26,17,14,29,8,1,1,,56,4,,12,,,,18.05,
6/17/24 9:43,6/17/24 9:45,0,100,168,1,6/17/24 9:45,R_7HU3JuePQUYGiPt,anonymous,EN,1,2,2,77,80,62,42,,,,,60,57,1,1,,24,3,,14,,,,18.48,
6/17/24 9:38,6/17/24 9:45,0,100,421,1,6/17/24 9:45,R_3BPXqrjOu6EPpud,anonymous,EN,1,2,2,60,68,67,43,,,,,88,87,1,1,,46,5,,11,,,,8.41,
6/17/24 9:39,6/17/24 9:46,0,100,387,1,6/17/24 9:46,R_77O08rOjAovppPw,anonymous,EN,1,2,2,56,38,38,8,,,,,50,34,1,2,,59,3,,12,,,,17.6,
6/17/24 9:42,6/17/24 9:46,0,100,213,1,6/17/24 9:46,R_6nuzojR5JBVR6XD,anonymous,EN,1,2,2,,,,,82,81,19,2,55,19,1,2,,56,5,,9,,,,7.55,
6/17/24 9:42,6/17/24 9:46,0,100,225,1,6/17/24 9:46,R_15Zt0mz9c63hBgu,anonymous,EN,1,2,2,,,,,35,37,18,0,54,70,1,2,,37,3,,11,,,,17.84,
6/17/24 9:40,6/17/24 9:46,0,100,317,1,6/17/24 9:46,R_7FneslxbgB90KMp,anonymous,EN,1,2,2,40,0,0,0,,,,,100,0,2,1,,24,2,,12,,,,1.61,
6/17/24 9:44,6/17/24 9:46,0,100,127,1,6/17/24 9:46,R_7eVWglmsPZQEkXD,anonymous,EN,1,2,2,,,,,43,44,5,0,68,36,1,2,,21,3,,12,,,,17.3,
6/17/24 9:43,6/17/24 9:46,0,100,169,1,6/17/24 9:46,R_7Puvg7Lb6466n6e,anonymous,EN,1,2,2,,,,,75,65,35,1,60,53,1,1,,40,3,,11,,,,19.31,
6/17/24 9:45,6/17/24 9:46,0,100,106,1,6/17/24 9:46,R_6epiEyf49xYpq4p,anonymous,EN,1,2,2,,,,,25,11,0,0,61,52,1,1,,41,6,,10,,,,8.23,
6/17/24 9:45,6/17/24 9:46,0,100,107,1,6/17/24 9:46,R_3d7i5E9zjwmur1b,anonymous,EN,1,2,2,31,27,21,7,,,,,59,6,1,1,,45,3,,14,,,,7.13,
6/17/24 9:36,6/17/24 9:46,0,100,646,1,6/17/24 9:46,R_5FKb8hpHU9piAkh,anonymous,EN,1,2,2,70,71,90,33,,,,,65,4,1,2,,50,4,,9,,,,17.78,
6/17/24 9:42,6/17/24 9:46,0,100,247,1,6/17/24 9:47,R_106wqM80S8p92PP,anonymous,EN,1,2,2,100,50,20,0,,,,,91,71,1,2,,63,4,,12,,,,17.59,
6/17/24 9:44,6/17/24 9:47,0,100,127,1,6/17/24 9:47,R_5tgSNQF0IMID6YA,anonymous,EN,1,2,2,,,,,100,100,100,100,89,93,1,1,,39,6,,9,,,,12.65,
6/17/24 9:44,6/17/24 9:47,0,100,177,1,6/17/24 9:47,R_5EXQJvITEbzGMFX,anonymous,EN,1,2,1,71,66,55,0,,,,,12,7,1,2,,60,4,,10,,,,10.78,
6/17/24 9:40,6/17/24 9:47,0,100,383,1,6/17/24 9:47,R_1IZ8OfdVUjclPrx,anonymous,EN,1,2,2,,,,,71,64,51,0,54,20,2,1,,60,1,,13,,,,,
6/17/24 9:42,6/17/24 9:47,0,100,285,1,6/17/24 9:47,R_7fDyMQfK7DD3ftJ,anonymous,EN,1,2,2,,,,,0,100,0,100,100,70,1,1,,61,4,,10,,,,10.46,
6/17/24 9:44,6/17/24 9:47,0,100,165,1,6/17/24 9:47,R_5K9oJWuW0HRcB8f,anonymous,EN,1,2,2,72,65,81,71,,,,,70,81,1,1,,34,4,,9,,,,,
6/17/24 9:43,6/17/24 9:47,0,100,220,1,6/17/24 9:47,R_5bBIt6Bm6e5oQH7,anonymous,EN,1,2,2,,,,,31,32,23,63,31,53,1,1,,21,2,,13,,,,10.74,
6/17/24 9:44,6/17/24 9:47,0,100,190,1,6/17/24 9:47,R_6xpcJdMrg2acd3z,anonymous,EN,1,2,2,20,60,0,0,,,,,76,52,1,1,,43,3,,10,,,,9.15,
6/17/24 9:44,6/17/24 9:47,0,100,191,1,6/17/24 9:47,R_7SaX4yNWacozlbH,anonymous,EN,1,2,1,,,,,51,52,55,0,54,40,1,2,,55,4,,11,,,,17.82,
6/17/24 9:43,6/17/24 9:47,0,100,226,1,6/17/24 9:47,R_7DBN8t5fMZGAVu9,anonymous,EN,1,2,2,30,20,20,5,,,,,10,9,1,2,,56,1,,13,,,,16.99,
6/17/24 9:45,6/17/24 9:47,0,100,150,1,6/17/24 9:47,R_5feYTYPjZhQM8Bo,anonymous,EN,1,2,2,,,,,5,10,70,0,60,10,1,1,,37,1,,11,,,,18.62,
6/17/24 9:44,6/17/24 9:47,0,100,163,1,6/17/24 9:47,R_8p2LygmRnRqMzyv,anonymous,EN,1,2,1,,,,,66,65,68,53,70,66,1,1,,31,1,,11,,,,18.17,
6/17/24 9:41,6/17/24 9:47,0,100,386,1,6/17/24 9:47,R_5OuTwiL2nDRMFm7,anonymous,EN,1,2,2,,,,,30,0,0,0,80,29,1,1,,52,1,,12,,,,7.58,
6/17/24 9:44,6/17/24 9:47,0,100,200,1,6/17/24 9:47,R_1nuWFXnqeoKcjhD,anonymous,EN,1,2,2,66,61,46,30,,,,,69,53,1,1,,71,4,,12,,,,17.23,
6/17/24 9:44,6/17/24 9:48,0,100,196,1,6/17/24 9:48,R_1fleTQLEqMXQHLq,anonymous,EN,1,2,2,,,,,94,87,66,43,80,64,1,1,,33,4,,12,,,,19.32,
6/17/24 9:44,6/17/24 9:48,0,100,207,1,6/17/24 9:48,R_5m8COFRkVnG9vPh,anonymous,EN,1,2,2,65,55,55,45,,,,,70,50,1,1,,43,1,,14,,,,18.47,
6/17/24 9:45,6/17/24 9:48,0,100,157,1,6/17/24 9:48,R_1KuYy27UTpcZhV7,anonymous,EN,1,2,1,,,,,0,0,0,0,87,88,1,2,,45,4,,10,,,,17.54,
6/17/24 9:45,6/17/24 9:48,0,100,174,1,6/17/24 9:48,R_6rIyWSF091gTh3o,anonymous,EN,1,2,2,19,60,39,8,,,,,28,0,1,1,,41,3,,13,,,,9.08,
6/17/24 9:40,6/17/24 9:48,0,100,460,1,6/17/24 9:48,R_7NFhYVaTPPq2lL5,anonymous,EN,1,2,2,0,20,0,0,,,,,79,10,1,2,,70,7,,10,,,,9.94,
6/17/24 9:44,6/17/24 9:48,0,100,236,1,6/17/24 9:48,R_3PuvEJyd4usoo1E,anonymous,EN,1,2,2,,,,,30,20,0,0,25,0,2,2,,39,1,,14,,,,10.48,
6/17/24 9:46,6/17/24 9:48,0,100,135,1,6/17/24 9:48,R_5E53AjvpfIklZtr,anonymous,EN,1,2,2,8,8,29,0,,,,,30,11,1,1,,39,4,,12,,,,8.08,
6/17/24 9:44,6/17/24 9:48,0,100,271,1,6/17/24 9:48,R_3tGo9gxAM6p7AIh,anonymous,EN,1,2,2,,,,,20,20,0,0,25,0,1,2,,53,3,,12,,,,17.43,
6/17/24 9:43,6/17/24 9:49,0,100,327,1,6/17/24 9:49,R_2oxB21sduNIwkDL,anonymous,EN,1,2,2,1,37,7,26,,,,,60,0,1,1,,46,5,,10,,,,19.32,
6/17/24 9:46,6/17/24 9:49,0,100,126,1,6/17/24 9:49,R_30hIlrpadFIvcD7,anonymous,EN,1,2,2,,,,,60,55,14,0,92,19,1,2,,22,4,,10,,,,17.49,
6/17/24 9:45,6/17/24 9:49,0,100,220,1,6/17/24 9:49,R_7CvKmAEzbdV0Dmj,anonymous,EN,1,2,2,,,,,16,8,7,11,35,30,1,1,,25,4,,11,,,,17.08,
6/17/24 9:46,6/17/24 9:49,0,100,197,1,6/17/24 9:49,R_3WMQUA4704ikeZN,anonymous,EN,1,2,2,,,,,60,26,32,0,82,42,1,2,,37,2,,13,,,,19.32,
6/17/24 9:45,6/17/24 9:49,0,100,234,1,6/17/24 9:49,R_3VlUZaTNqQZY0h3,anonymous,EN,1,2,2,20,0,0,0,,,,,51,0,1,2,,66,4,,14,,,,2.75,
6/17/24 9:45,6/17/24 9:49,0,100,226,1,6/17/24 9:49,R_3sU6dTIQKGHlfXI,anonymous,EN,1,2,2,50,50,9,0,,,,,50,23,1,2,,78,4,,12,,,,17.82,
6/17/24 9:45,6/17/24 9:49,0,100,264,1,6/17/24 9:49,R_3iyDdfD8hKBePNx,anonymous,EN,1,2,2,70,75,60,25,,,,,70,60,1,1,,28,5,,11,,,,17.94,
6/17/24 9:41,6/17/24 9:49,0,100,486,1,6/17/24 9:49,R_1JlqcL9RJgyyOrh,anonymous,EN,1,2,2,60,0,0,0,,,,,90,0,1,1,,52,4,,13,,,,17.57,
6/17/24 9:46,6/17/24 9:49,0,100,193,1,6/17/24 9:49,R_6fj0WbrBbp8zjFL,anonymous,EN,1,2,2,80,80,50,10,,,,,85,64,1,2,,71,4,,11,,,,17.46,
6/17/24 9:48,6/17/24 9:50,0,100,120,1,6/17/24 9:50,R_57h702rZVGqRx2p,anonymous,EN,1,2,2,,,,,93,64,64,26,22,0,1,2,,23,4,,11,,,,9.87,
6/17/24 9:46,6/17/24 9:50,0,100,224,1,6/17/24 9:50,R_7xQPd68qgFtdFsR,anonymous,EN,1,2,2,,,,,37,35,29,10,35,19,1,1,,48,5,,13,,,,17.76,
